generated_at,reference_rows,current_rows,dataset_drift,share_of_drifted_columns,elo_diff_drift_score,elo_diff_drift_detected,form_goals_against_diff_drift_score,form_goals_against_diff_drift_detected,form_goals_for_diff_drift_score,form_goals_for_diff_drift_detected,form_win_rate_diff_drift_score,form_win_rate_diff_drift_detected,rank_points_diff_drift_score,rank_points_diff_drift_detected
2026-07-24,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-25,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-26,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-27,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-28,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-29,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-30,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-31,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-01,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-02,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-03,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-04,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-05,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-06,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-07,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-08,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-09,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-10,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-11,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-12,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-13,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-14,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-15,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-16,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-17,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-18,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-19,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-20,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-21,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-22,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-23,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-24,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-25,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-26,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-27,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-28,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-29,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-30,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-08-31,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
